Show Name,Publisher,Category,Y,Original,Episode Count,Ad Pricing,:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",Number of Ad Slots,Ads Host Red?,Episode Day,Primary Country,Episodes Per Week,Host,Gender Distribution,28-45,Average HHI,Hosting,Platforms
Hour Education Echo,Prime Media,General,Y,Original,103,"$3,473",:40-66,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Brazil,1,Karen Garcia,M - 45%,28-51,$234k,Megaphone,"Apple, Spotify"
Stories Education Radar,Peak Group,General,Y,Original,117,"$1,260",:40-68,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,Linda Wilson,F - 40%,28-53,$312k,Megaphone,"Apple, Spotify"
Tales Health Scope,Next Channel,Health & Wellness,Y,Original,54,"$2,497",:40-70,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Nigeria,1,Jessica Martin,F - 68%,28-55,$164k,Megaphone,Spotify
Journey Business Radar,Next Broadcasts,Business & Finance,Y,Original,112,"$2,593",:40-71,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Russia,1,Karen Thomas,M - 67%,28-56,$341k,Megaphone,Spotify
Tales Science Grid,Global Broadcasts,General,Y,Original,70,"$2,907",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Nigeria,1,Mary Anderson,M - 37%,25-45,$185k,Megaphone,Apple
Tales Tech Sphere,Pulse Studios,Technology,Y,Original,200,"$2,700",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Australia,1,William Martinez,M - 58%,25-45,$63k,Megaphone,Apple
Talks Sports Wave,Elite Channel,General,Y,Original,101,"$1,751",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Mexico,1,Sarah Jackson,M - 48%,25-45,$463k,Megaphone,Apple
Insights Entertainment Quest,Global Studios,Entertainment & Media,Y,Original,90,"$3,932",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Russia,1,Patricia Williams,F - 16%,25-45,$166k,Megaphone,Apple
Chronicles Food Scope,Next Group,General,Y,Original,267,$917,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Spain,1,William Miller,F - 60%,25-45,$278k,Megaphone,Spotify
Chronicles Tech Quest,Star Channel,Technology,Y,Original,290,"$3,381",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Germany,1,Michael Thomas,M - 21%,25-45,$387k,Megaphone,Spotify
Daily Health Wave,Peak Collective,Health & Wellness,Y,Original,63,"$2,847",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Nigeria,1,Jennifer Taylor,M - 15%,25-45,$104k,Megaphone,"Apple, Spotify"
Hour Food Voyage,PRX,General,Y,Original,34,"$3,164",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Japan,1,Robert Robinson,F - 46%,25-45,$91k,Megaphone,Spotify
Talks Science Grid,Pulse Productions,General,Y,Original,65,"$1,711",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Italy,1,David Jones,F - 57%,25-45,$135k,Megaphone,"Apple, Spotify"
Talks Tech Vision,Global Syndicate,Technology,Y,Original,169,"$2,161",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,India,1,Karen Miller,F - 66%,25-45,$123k,Megaphone,Apple
Talks Travel Scope,Core Syndicate,General,Y,Original,176,"$1,003",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,China,1,Charles Taylor,F - 43%,25-45,$132k,Megaphone,"Apple, Spotify"
World Business Quest,Pulse Collective,Business & Finance,Y,Original,206,"$1,843",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Argentina,1,Robert Moore,M - 81%,25-45,$90k,Megaphone,Apple
Chronicles Entertainment Quest,Prime Group,Entertainment & Media,Y,Original,275,"$2,931",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Italy,1,Jessica Martinez,F - 50%,25-45,$77k,Megaphone,"Apple, Spotify"
Daily History Path,PodcastOne,General,Y,Original,103,"$1,419",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Japan,1,Patricia Davis,F - 81%,25-45,$125k,Megaphone,"Apple, Spotify"
Digest Tech Sphere,Elite Productions,Technology,Y,Original,292,"$1,723",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Japan,1,Barbara Moore,M - 37%,25-45,$54k,Megaphone,"Apple, Spotify"
Daily Education Vision,Global Broadcasts,General,Y,Original,169,"$3,426",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,United Kingdom,1,Thomas Harris,F - 28%,25-45,$107k,Megaphone,Apple
Journey Food Wave,Edge Collective,General,Y,Original,214,"$3,720",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Spain,1,Linda Jackson,F - 83%,25-45,$315k,Megaphone,"Apple, Spotify"
Stories Tech Scope,Star Syndicate,Technology,Y,Original,283,"$3,442",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Argentina,1,Elizabeth Smith,M - 74%,25-45,$391k,Megaphone,Apple
Hour Entertainment Sphere,Peak Syndicate,Entertainment & Media,Y,Original,230,"$3,018",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Australia,1,Richard Brown,M - 63%,25-45,$52k,Megaphone,Apple
Daily Travel Vision,Peak Syndicate,General,Y,Original,25,"$1,725",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Egypt,1,Thomas Thomas,M - 62%,25-45,$244k,Megaphone,Apple
Digest Business Sphere,Echo Broadcasts,Business & Finance,Y,Original,50,"$1,463",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Brazil,1,Linda Taylor,M - 56%,25-45,$441k,Megaphone,Spotify
Journey Sports Sphere,Peak Group,General,Y,Original,190,"$2,480",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,India,1,Joseph Miller,M - 28%,25-45,$180k,Megaphone,Apple
Digest Travel Scope,Global Collective,General,Y,Original,158,"$1,021",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Brazil,1,John Jackson,M - 83%,25-45,$205k,Megaphone,Apple
Digest Science Echo,Prime Media,General,Y,Original,220,"$3,134",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Russia,1,Jessica Smith,M - 54%,25-45,$67k,Megaphone,Spotify
Stories Health Radar,Peak Collective,Health & Wellness,Y,Original,138,"$1,980",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Turkey,1,Sarah Johnson,M - 75%,25-45,$158k,Megaphone,Apple
Daily Science Grid,Pulse Syndicate,General,Y,Original,121,"$3,012",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,China,1,Jessica Thompson,F - 22%,25-45,$440k,Megaphone,Apple
Talks Entertainment Echo,Global Collective,Entertainment & Media,Y,Original,150,"$3,562",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Mexico,1,Jessica Thompson,F - 82%,25-45,$363k,Megaphone,"Apple, Spotify"
World Education Wave,Edge Channel,General,Y,Original,31,"$3,241",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,USA,1,Sarah Robinson,M - 88%,25-45,$451k,Megaphone,Spotify
Digest Travel Echo,Star Network,General,Y,Original,60,"$2,988",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Russia,1,Elizabeth Thomas,F - 84%,25-45,$129k,Megaphone,"Apple, Spotify"
Stories Tech Voyage,Peak Channel,Technology,Y,Original,160,"$2,568",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Egypt,1,Charles Johnson,M - 62%,25-45,$57k,Megaphone,Apple
Daily Sports Wave,Elite Broadcasts,General,Y,Original,19,"$2,386",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Italy,1,Mary Harris,F - 17%,25-45,$299k,Megaphone,Apple
Journey Science Sphere,Edge Productions,General,Y,Original,202,"$1,518",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Canada,1,Charles Martin,F - 23%,25-45,$464k,Megaphone,Spotify
Insights Entertainment Wave,Prime Studios,Entertainment & Media,Y,Original,219,"$2,562",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Africa,1,Barbara Thomas,F - 75%,25-45,$323k,Megaphone,Apple
World Tech Grid,Echo Media,Technology,Y,Original,86,"$2,062",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Africa,1,Charles Davis,F - 25%,25-45,$460k,Megaphone,"Apple, Spotify"
Stories Travel Path,Global Casts,General,Y,Original,267,$638,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,France,1,Elizabeth Williams,M - 22%,25-45,$78k,Megaphone,Spotify
Tales Education Quest,Pulse Group,General,Y,Original,199,$976,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Germany,1,John Jackson,F - 20%,25-45,$172k,Megaphone,"Apple, Spotify"
Talks Entertainment Scope,Pulse Group,Entertainment & Media,Y,Original,102,"$2,908",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Turkey,1,David Smith,F - 40%,25-45,$125k,Megaphone,Spotify
Tales Science Quest,Quill,General,Y,Original,167,"$3,465",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,India,1,Susan Thomas,M - 25%,25-45,$202k,Megaphone,Spotify
Stories Food Path,Peak Broadcasts,General,Y,Original,108,"$1,949",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Brazil,1,Michael Jackson,M - 36%,25-45,$412k,Megaphone,"Apple, Spotify"
Tales Sports Wave,Core Productions,General,Y,Original,203,"$3,679",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Spain,1,William Johnson,M - 26%,25-45,$377k,Megaphone,Apple
World Science Path,Core Media,General,Y,Original,282,"$2,625",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Japan,1,Charles Brown,F - 60%,25-45,$169k,Megaphone,"Apple, Spotify"
Insights Education Sphere,Elite Collective,General,Y,Original,230,"$1,492",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,South Korea,1,Sarah Miller,M - 67%,25-45,$184k,Megaphone,"Apple, Spotify"
Chronicles Travel Quest,Core Syndicate,General,Y,Original,138,"$1,027",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Turkey,1,Jessica Thomas,F - 87%,25-45,$424k,Megaphone,"Apple, Spotify"
World Tech Sphere,Next Network,Technology,Y,Original,157,"$1,934",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Italy,1,Sarah Jones,F - 53%,25-45,$477k,Megaphone,Apple
Daily Food Scope,Peak Casts,General,Y,Original,244,"$1,687",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,USA,1,Barbara Miller,F - 65%,25-45,$272k,Megaphone,Spotify
Chronicles Education Echo,Echo Syndicate,General,Y,Original,289,"$3,811",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Spain,1,William Jones,M - 17%,25-45,$387k,Megaphone,Apple
Digest Science Voyage,Edge Channel,General,Y,Original,115,"$1,670",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Japan,1,Patricia Robinson,F - 38%,25-45,$261k,Megaphone,"Apple, Spotify"
Tales Education Grid,Star Collective,General,Y,Original,156,"$1,043",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Japan,1,Susan White,M - 16%,25-45,$377k,Megaphone,Apple
Tales Tech Echo,Prime Media,Technology,Y,Original,269,"$2,785",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,France,1,Susan Taylor,F - 75%,25-45,$136k,Megaphone,"Apple, Spotify"
Journey Business Path,Star Productions,Business & Finance,Y,Original,119,"$2,790",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Argentina,1,Jessica Smith,F - 21%,25-45,$221k,Megaphone,Apple
Chronicles Science Quest,Pulse Syndicate,General,Y,Original,263,$842,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Nigeria,1,Patricia Taylor,M - 52%,25-45,$387k,Megaphone,Apple
Journey Tech Sphere,Elite Broadcasts,Technology,Y,Original,241,"$2,836",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,France,1,Robert Davis,M - 55%,25-45,$484k,Megaphone,"Apple, Spotify"
Stories Travel Radar,Next Media,General,Y,Original,254,"$2,829",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Korea,1,Karen Johnson,M - 42%,25-45,$499k,Megaphone,"Apple, Spotify"
Digest Tech Wave,Next Broadcasts,Technology,Y,Original,137,"$3,975",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Russia,1,Susan Garcia,M - 28%,25-45,$383k,Megaphone,Apple
Hour Food Wave,PodcastOne,General,Y,Original,100,"$1,843",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Australia,1,Sarah Wilson,F - 32%,25-45,$192k,Megaphone,"Apple, Spotify"
World Food Quest,Next Syndicate,General,Y,Original,11,"$2,136",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Japan,1,Patricia Brown,F - 15%,25-45,$188k,Megaphone,Apple
Tales Food Scope,Pulse Group,General,Y,Original,254,"$2,088",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Australia,1,Robert Brown,M - 86%,25-45,$80k,Megaphone,"Apple, Spotify"
Stories Tech Vision,Echo Broadcasts,Technology,Y,Original,80,"$1,938",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Italy,1,Patricia Harris,F - 69%,25-45,$398k,Megaphone,Spotify
Tales Business Vision,Elite Productions,Business & Finance,Y,Original,298,"$2,628",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Japan,1,Linda Harris,M - 63%,25-45,$55k,Megaphone,Apple
Daily Health Scope,Peak Broadcasts,Health & Wellness,Y,Original,183,"$3,113",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Argentina,1,David Williams,M - 70%,25-45,$289k,Megaphone,Apple
Insights Travel Voyage,Wondery,General,Y,Original,95,"$2,246",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,South Korea,1,John Harris,M - 50%,25-45,$195k,Megaphone,Spotify
Insights Business Voyage,Peak Casts,Business & Finance,Y,Original,207,$699,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,South Korea,1,David Garcia,F - 25%,25-45,$142k,Megaphone,Spotify
Insights Food Radar,Elite Group,General,Y,Original,23,"$3,238",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Mexico,1,Barbara Miller,M - 20%,25-45,$178k,Megaphone,"Apple, Spotify"
Insights Travel Scope,Edge Productions,General,Y,Original,136,"$3,138",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Russia,1,Thomas Martin,M - 58%,25-45,$268k,Megaphone,Apple
Stories Travel Voyage,Echo Productions,General,Y,Original,164,"$3,104",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Turkey,1,Mary Thomas,M - 79%,25-45,$265k,Megaphone,Spotify
Daily History Wave,Edge Syndicate,General,Y,Original,36,"$3,441",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Australia,1,Linda Martinez,M - 30%,25-45,$58k,Megaphone,Apple
Hour Entertainment Quest,Echo Productions,Entertainment & Media,Y,Original,288,$880,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Egypt,1,Richard Martin,M - 10%,25-45,$224k,Megaphone,Spotify
Tales History Path,Pulse Collective,General,Y,Original,87,"$3,057",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,France,1,Robert Anderson,F - 82%,25-45,$265k,Megaphone,Apple
Tales History Voyage,Prime Collective,General,Y,Original,62,"$1,573",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Canada,1,William Taylor,M - 21%,25-45,$84k,Megaphone,"Apple, Spotify"
Chronicles Business Quest,Echo Collective,Business & Finance,Y,Original,288,"$2,867",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Egypt,1,Thomas Brown,M - 27%,25-45,$392k,Megaphone,Apple
Chronicles Food Vision,Global Group,General,Y,Original,154,"$3,436",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,United Kingdom,1,James Miller,F - 19%,25-45,$255k,Megaphone,Apple
Daily Education Voyage,Star Broadcasts,General,Y,Original,34,"$1,608",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Mexico,1,Barbara Miller,F - 84%,25-45,$224k,Megaphone,"Apple, Spotify"
Digest Tech Radar,Edge Studios,Technology,Y,Original,246,"$2,856",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Australia,1,Sarah Brown,M - 70%,25-45,$262k,Megaphone,Spotify
Chronicles Food Voyage,PRX,General,Y,Original,22,"$3,432",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Korea,1,Richard Johnson,M - 26%,25-45,$233k,Megaphone,Spotify
Insights Sports Scope,Elite Productions,General,Y,Original,87,"$1,920",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Canada,1,James Moore,F - 49%,25-45,$489k,Megaphone,Apple
Hour Food Echo,Echo Syndicate,General,Y,Original,226,"$1,543",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Mexico,1,Thomas Moore,M - 21%,25-45,$282k,Megaphone,Spotify
Journey Business Voyage,Peak Channel,Business & Finance,Y,Original,177,"$2,280",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,China,1,Thomas Harris,M - 52%,25-45,$434k,Megaphone,Spotify
Chronicles Science Echo,Core Syndicate,General,Y,Original,46,"$1,595",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,Thomas Moore,F - 38%,25-45,$238k,Megaphone,Spotify
Insights Education Wave,Prime Channel,General,Y,Original,247,"$3,425",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Brazil,1,John Martinez,F - 79%,25-45,$172k,Megaphone,Spotify
Digest History Voyage,Next Collective,General,Y,Original,79,$787,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,USA,1,Michael White,F - 28%,25-45,$56k,Megaphone,Spotify
World Entertainment Vision,Star Casts,Entertainment & Media,Y,Original,206,"$3,351",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Japan,1,Sarah Martin,M - 49%,25-45,$319k,Megaphone,Apple
Chronicles Science Scope,Edge Collective,General,Y,Original,129,"$2,177",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Egypt,1,Karen Wilson,M - 30%,25-45,$135k,Megaphone,Spotify
Journey Sports Vision,Global Syndicate,General,Y,Original,284,"$1,331",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Korea,1,John Garcia,F - 87%,25-45,$227k,Megaphone,Apple
World Entertainment Grid,Star Productions,Entertainment & Media,Y,Original,45,"$1,470",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Korea,1,Susan Anderson,F - 79%,25-45,$217k,Megaphone,"Apple, Spotify"
Stories Travel Grid,Elite Broadcasts,General,Y,Original,11,"$2,096",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Germany,1,Joseph Moore,F - 49%,25-45,$325k,Megaphone,Spotify
Journey Entertainment Scope,Prime Group,Entertainment & Media,Y,Original,260,"$3,704",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Australia,1,David Martin,M - 73%,25-45,$355k,Megaphone,"Apple, Spotify"
Hour History Sphere,Core Studios,General,Y,Original,172,"$2,305",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Germany,1,Linda Davis,F - 11%,25-45,$464k,Megaphone,Apple
World Science Wave,Global Syndicate,General,Y,Original,206,"$1,959",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Mexico,1,Sarah Taylor,F - 36%,25-45,$445k,Megaphone,"Apple, Spotify"
Talks Health Grid,Global Channel,Health & Wellness,Y,Original,246,"$1,772",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Brazil,1,Susan Taylor,F - 32%,25-45,$87k,Megaphone,Apple
Chronicles Business Sphere,Pulse Group,Business & Finance,Y,Original,226,"$1,680",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,China,1,Thomas Robinson,M - 63%,25-45,$353k,Megaphone,Spotify
