Newsletter Name,Publisher,Category,Ad Pricing,Placement,Primary Country,Release Day
Economic Insights,The Hustle,Business & Finance,$950,Bottom,USA,Wednesday
Nature Notes,NextDraft,Science & Nature,$500,Middle,Canada,Thursday
Interior Ideas,Home Media Co.,Home & Garden,$350,Bottom,USA,Friday
Family Focus,Parenting Media Group,Parenting,$700,Top,USA,Monday
Artistic Endeavors,Art Media Inc.,Art & Culture,$550,Middle,USA,Tuesday
Bookworm's Digest,Literature Media Co.,Literature & Writing,$900,Top,UK,Wednesday
Sound Waves,Music Media Group,Music & Entertainment,$450,Bottom,USA,Thursday
Animal Planet,Pet Media LLC,Pets & Animals,$750,Middle,USA,Friday
Exploration Excursions,Outdoor Media Co.,Outdoor & Adventure,$400,Top,Canada,Monday
Gamer's Guide,Gaming Media Inc.,Gaming,$650,Bottom,USA,Tuesday
Movie Magic,Film Media Group,Film & TV,$850,Middle,USA,Wednesday
Healthy Habits,Wellness Media LLC,Health & Wellness,$500,Top,USA,Thursday
Policy Perspectives,Politics Media Co.,Politics & Government,$600,Bottom,USA,Friday
Code Crunch,Morning Brew,Technology,$700,Middle,USA,Monday
Wellness Watch,Nutrition Media Group,Nutrition & Dieting,$500,Bottom,USA,Tuesday
Investor's Insight,Finance Media Inc.,Finance,$900,Top,USA,Wednesday
Global Getaways,The New York Times,Travel & Leisure,$450,Middle,UK,Thursday
Gourmet Gazette,Food Media LLC,Food & Cooking,$350,Top,USA,Friday
Fashion Fix,Fashion Media Co.,Fashion & Beauty,$750,Top,France,Monday
Sports Zone,The Skimm,Sports,$500,Middle,USA,Tuesday
Market Matters,The Hustle,Business & Finance,$1000,Bottom,USA,Wednesday
Science Spotlight,NextDraft,Science & Nature,$500,Middle,Canada,Thursday
Homemaker's Helper,Home Media Co.,Home & Garden,$400,Bottom,USA,Friday
Parenting Perspectives,Parenting Media Group,Parenting,$750,Top,USA,Monday
Artisanal Gazette,Art Media Inc.,Art & Culture,$600,Middle,USA,Tuesday
Literary Legacy,Literature Media Co.,Literature & Writing,$950,Top,UK,Wednesday
Music Matters,Music Media Group,Music & Entertainment,$450,Bottom,USA,Thursday
Furry Friends,Pet Media LLC,Pets & Animals,$800,Middle,USA,Friday
Wilderness Wonders,Outdoor Media Co.,Outdoor & Adventure,$400,Top,Canada,Monday
Gaming Guru,Gaming Media Inc.,Gaming,$700,Bottom,USA,Tuesday
Cinema Scope,Film Media Group,Film & TV,$900,Middle,USA,Wednesday
Healthy Living,Wellness Media LLC,Health & Wellness,$550,Top,USA,Thursday
Government Gazette,Politics Media Co.,Politics & Government,$650,Bottom,USA,Friday
